timestamp,event,power_dbm,arm1,arm2,arm3,duration_s
2026-06-19 14:16:45,optimization,-28.053,37,26,101,37.3
2026-06-19 14:16:45,drift,-27.987,,,,
2026-06-19 14:17:45,drift,-28.405,,,,
2026-06-19 14:18:45,drift,-28.861,,,,
2026-06-19 14:19:45,drift,-29.763,,,,
2026-06-19 14:20:45,drift,-30.363,,,,
2026-06-19 14:21:45,drift,-30.536,,,,
2026-06-19 14:22:45,drift,-31.097,,,,
2026-06-19 14:23:45,drift,-31.346,,,,
2026-06-19 14:24:45,drift,-31.578,,,,
2026-06-19 14:25:45,drift,-31.649,,,,
2026-06-19 14:26:45,hold_pass,-31.789,,,,
