,timestamp,power_dbm,sample_index,elapsed_hours,hour,date,hour_block,delta_power,sample_interval_s,drift_from_start
count,2616,2616.0,2616.0,2616.0,2616.0,2616,2616,2615.0,2615.0,2616.0
unique,,,,,,3,,,,
top,,,,,,2026-06-11,,,,
freq,,,,,,1440,,,,
mean,2026-06-11 11:23:05.289372928,-27.92960844801223,1308.5,19.655080381413523,11.610091743119266,,2026-06-11 10:52:34.128440320,-0.011760038240917783,56.982409177820266,-0.4387084480122325
min,2026-06-10 15:43:47,-58.2434,1.0,0.0,0.0,,2026-06-10 15:00:00,-17.329499999999996,0.0,-30.7525
25%,2026-06-11 00:25:51.750000128,-30.1526,654.75,8.701319444444444,5.0,,2026-06-11 00:00:00,-0.3569000000000013,60.0,-2.6616999999999997
50%,2026-06-11 11:19:46.500000,-28.4142,1308.5,19.59986111111111,12.0,,2026-06-11 11:00:00,0.008499999999997954,60.0,-0.9233000000000011
75%,2026-06-11 22:13:25,-26.493825,1962.25,30.49388888888889,18.0,,2026-06-11 22:00:00,0.3116000000000003,60.0,0.9970750000000006
max,2026-06-12 09:07:16,-14.1628,2616.0,41.39138888888889,23.0,,2026-06-12 09:00:00,19.8578,185.0,13.3281
std,,3.257778116550343,755.3184758762359,12.497577301358854,7.265684388155823,,,2.092320064669813,23.163412622575944,3.257778116550343
